player_name,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,age,avg_pitches,height,weight,bats,throws,recurrence,event,num_games
"Martinez, Seth",2164.4221369658117,86.73837142644335,87.7922247273933,6.517934993335092,-126.16107369913256,-0.7964278926539498,28.74617533344433,21.486486486486488,74.0,200.0,0.0,0.0,0,0.0,37
"Mastrobuoni, Miles",1835.058823529412,74.07058823529412,72.20588235294117,5.422261198132241,-107.66420754925996,-4.007738067740177,27.534565366187543,17.0,71.0,185.0,0.0,0.0,0,0.0,1
"Mayers, Mike",2151.164429555407,87.83482530001326,87.94606339024384,5.830668805392024,-127.79161185593077,-3.5455210554161156,31.438056125941138,63.5,74.0,220.0,0.0,0.0,0,0.0,8
"Mayza, Tim",2090.9385374607696,91.96598413607006,92.18544660407547,-6.405448299366938,-133.68308563353787,-5.968654904463665,31.432043953604534,11.662162162162161,75.0,213.0,0.0,0.0,0,0.0,74
"McAllister, Zach",2202.752007241953,89.23253344481606,90.72986244934616,9.803556490919153,-129.6178368197001,0.3014911667669025,35.66993687732908,16.22222222222222,78.0,240.0,0.0,0.0,0,0.0,9
"McArthur, James",2483.146925529618,87.55271532234681,88.27498901662047,6.510171399587592,-127.3401620075109,-2.2598756069073573,26.72370522473192,18.944444444444443,79.0,230.0,0.0,0.0,0,0.0,18
"McCaughan, Darren",2198.8999644633973,83.79031035299693,84.51378524046434,5.6625506410042705,-121.91672281027259,-0.9485831361061883,27.234314396532056,37.333333333333336,73.0,200.0,0.0,0.0,0,0.0,3
"McKenna, Ryan",950.8888888888888,36.06666666666667,33.416666666666664,-0.1975995339290596,-50.8461509626369,10.509025487875896,26.275154004106778,18.0,71.0,195.0,0.0,0.0,0,0.0,1
"McKinstry, Zach",1964.0454545454545,80.0,78.19545454545454,5.765683051259227,-116.22492017823474,-3.43586138321954,27.942505133470227,22.0,72.0,180.0,0.0,0.0,0,0.0,1
"Mederos, Victor",2329.4011350059736,92.80844907407408,93.09594907407408,7.121665327461486,-134.88673132134082,-4.563332191380199,22.013689253935663,20.75,74.0,227.0,0.0,0.0,0,0.0,4
"Megill, Trevor",2608.1845844744334,95.34907073345771,95.88054484996344,2.8666717269814312,-138.6553421141608,-7.418375657572879,29.621056561508304,19.151515151515152,80.0,250.0,0.0,0.0,0,0.0,33
"Megill, Tylor",2091.9721790747794,90.06766325021599,91.62269384036456,5.318919398081054,-130.99487713401112,-4.75344544130458,27.891398585443763,89.03703703703704,79.0,241.0,0.0,0.0,0,0.0,27
"Mendick, Danny",1528.1041666666665,60.26354166666667,58.084895833333334,3.129444664428389,-87.67983633957503,0.7132662053083401,29.857631759069132,19.0,70.0,195.0,0.0,0.0,0,0.0,2
"Merryweather, Julian",2271.9182327961926,91.1001008506862,91.37011844885278,5.003743586996468,-132.54875919232256,-4.975138391408227,31.703665677998327,17.47222222222222,76.0,215.0,0.0,0.0,0,0.0,72
"Mikolas, Miles",2278.3570045884812,87.62013079780967,87.792419543228,6.168760507995348,-127.40054971791025,-4.9261041066505715,34.846604304509846,89.61111111111111,76.0,230.0,0.0,0.0,0,0.0,36
"Miller, Bobby",2440.5935033608107,92.27870185505682,93.31684110543348,4.581472039159466,-134.24164052967805,-5.147686390224851,24.32425676278904,87.52173913043478,77.0,220.0,0.0,0.0,0,0.0,23
"Miller, Tyson",2311.8530486131017,88.22741150668094,89.66970368507413,9.852656361703778,-128.170005615404,-1.6580676484774388,27.849646360939996,21.083333333333332,76.0,225.0,0.0,0.0,0,0.0,12
"Mills, Alec",2290.0,82.1275,82.22,7.473437230333983,-119.42857556009412,-1.3218324313606369,31.58384668035592,40.0,76.0,205.0,0.0,0.0,0,0.0,1
"Milner, Hoby",1881.8790774887375,84.27759826093113,84.84056258350665,-10.87181553302838,-122.22806101049362,1.3998805597157271,32.45278507004913,13.569620253164556,75.0,175.0,0.0,0.0,0,0.0,79
"Milone, Tommy",2032.9177958446253,81.44332279433905,81.06954983438723,-7.8219121626528,-118.32776978117906,-4.163498526078316,36.26830937713895,81.5,72.0,215.0,0.0,0.0,0,0.0,2
"Minaya, Juan",1966.3178485162182,89.9189182194617,90.63048654244305,6.218481699549835,-130.76730917895318,-4.352201143847696,32.50832762947753,20.0,76.0,210.0,0.0,0.0,0,0.0,3
