player_name,previous_injury_date,next_injury_date,num_games,average_spin_rate,average_velocity,average_effective_speed,average_vx0,average_vy0,average_vz0,weight,height,bats,throws,recurrence,EVENT
"Clement, Ernie",2024-01-01,2024-12-31,1,1253.9375,70.0625,67.5625,6.358266644704109,-101.54037438115625,1.3435743192846408,170.0,72.0,2,1,0,False
"Coleman, Dylan",2024-01-01,2024-12-31,1,2376.4375,91.41875,91.55,6.1880629109234855,-132.85492707418248,-5.8465754853003755,230.0,77.0,2,1,0,False
"Contreras, Roansy",2024-01-01,2024-12-31,52,2349.722450487113,89.63797009691224,89.86924655270542,3.384765024399184,-130.43717295674065,-4.665498417695478,175.0,72.0,2,1,0,False
"Corbin, Patrick",2024-01-01,2024-12-31,33,2146.9777010887346,85.68807284143433,86.42660408689272,-6.803408470868975,-124.58506204252996,-4.772313752023392,222.0,76.0,1,0,0,False
"Crawford, Brandon",2024-01-01,2024-12-31,1,1917.5428571428572,85.79428571428572,85.23714285714286,6.253592410187828,-124.72942761631509,-3.109548428717903,223.0,73.0,1,1,0,False
"Crawford, Kutter",2024-01-01,2024-12-31,35,2316.4371805381397,86.83400811317158,86.5442464652166,3.2142715576588343,-126.38369784544273,-3.8070166830692336,209.0,73.0,2,1,0,False
"Crismatt, Nabil",2024-01-01,2024-12-31,5,1806.564209561886,83.48601016158588,84.19583316674996,7.185616564242201,-121.36980406481398,-2.171698892536907,220.0,73.0,2,1,0,False
"Crochet, Garrett",2024-01-01,2024-12-31,33,2509.0349579235262,94.04646721062949,95.26573845258173,-7.463898654027167,-136.70757017667316,-5.63505870387139,230.0,78.0,1,0,0,False
"Crouse, Hans",2024-01-01,2024-12-31,26,2160.797160310186,88.52344397061498,86.70027050171399,4.231226394178135,-128.7984340698979,-4.200956370874808,180.0,76.0,1,1,0,False
"Cruz, Fernando",2024-01-01,2024-12-31,72,1736.110377696522,87.53726249316412,88.49613953176441,3.7894903824582364,-127.3952200483157,-4.669773590098524,205.0,74.0,0,1,0,False
"Cruz, Steven",2024-01-01,2024-12-31,6,2208.613685859773,94.34267371719547,95.25344248596423,9.22752875816362,-137.0298687514827,-5.409407243089227,225.0,79.0,2,1,0,False
"Cuas, Jose",2024-01-01,2024-12-31,16,2437.8448681790296,89.61746351827134,89.4485596987603,11.283869360292687,-129.96575568529965,1.4233271761661899,195.0,75.0,2,1,0,False
"Cueto, Johnny",2024-01-01,2024-12-31,2,1858.901749856569,86.85877796901894,86.14927567412508,6.755355588741157,-126.35403353126512,-2.6876310747263323,229.0,71.0,2,1,0,False
"Curtiss, John",2024-01-01,2024-12-31,7,2383.704358974359,90.88757264957265,91.16266666666667,6.723190264412208,-132.18087776202697,-5.9434960319398025,220.0,77.0,2,1,0,False
"Daniel, Davis",2024-01-01,2024-12-31,6,2108.2378616508645,86.48554157072947,87.00482368144536,4.299069661235163,-125.84252692353806,-3.4226321138615785,190.0,73.0,2,1,0,False
"Danner, Hagen",2024-01-01,2024-12-31,1,2102.470588235294,92.50588235294117,92.98823529411764,4.589470502011901,-134.63499989061333,-4.310163974554504,215.0,73.0,2,1,0,False
"Davidson, Tucker",2024-01-01,2024-12-31,1,1923.44776119403,85.45522388059702,85.97462686567164,-4.460432252201769,-124.36554339262473,-4.229550092907674,215.0,74.0,1,0,0,False
"Davis, Austin",2024-01-01,2024-12-31,7,2467.529577664399,87.9843962585034,88.20848497732426,-4.52394380304022,-128.1073910209204,-2.2854642426562215,235.0,76.0,1,0,0,False
"Davis, Noah",2024-01-01,2024-12-31,9,2340.6802828668833,88.88452544923871,88.09987130140134,6.805820228129421,-129.31591924971917,-3.4752387097409407,195.0,74.0,2,1,0,False
"De Los Santos, Enyel",2024-01-01,2024-12-31,64,2197.005803379843,90.77257955989897,90.5533949360975,6.176080947483817,-132.02634066972837,-3.8294628050868864,235.0,75.0,2,1,0,False
"De Los Santos, Yerry",2024-01-01,2024-12-31,3,2131.460815047022,90.70768025078371,90.96849529780565,8.380478108008905,-131.79882492764872,-5.019234100850149,215.0,74.0,2,1,0,False
"Detmers, Reid",2024-01-01,2024-12-31,19,2110.7494984968525,87.86545833995356,87.3948494758742,-4.208492596775248,-127.81892267297356,-4.1495772168510205,210.0,74.0,1,0,0,False
"Diekman, Jake",2024-01-01,2024-12-31,46,2382.509790429968,90.56720432901643,90.45411382209777,-11.584792656429709,-131.31382367254315,-3.4016044156801652,195.0,76.0,2,0,0,False
"Dobnak, Randy",2024-01-01,2024-12-31,5,1944.6565098039216,87.10566250500202,85.90812364945978,5.850569961059855,-126.75629950014638,-1.4300419759855905,230.0,73.0,2,1,0,False
"Dodd, Dylan",2024-01-01,2024-12-31,2,2209.4411764705883,86.88235294117646,87.25588235294117,-5.5830340606133,-126.41830109215941,-3.1228765807320187,210.0,74.0,1,0,0,False
"Doval, Camilo",2024-01-01,2024-12-31,64,2446.397184303087,93.5467505794705,93.90533100310154,4.409728522892877,-136.20285233760913,-3.9273696285206525,185.0,74.0,2,1,0,False
"Duffey, Tyler",2024-01-01,2024-12-31,9,2391.722785910286,85.36929627492128,85.41208578146077,6.291378980136131,-124.16020378623011,-2.2107108644468614,220.0,75.0,2,1,0,False
"Duffy, Danny",2024-01-01,2024-12-31,2,2154.608695652174,86.8,87.6608695652174,-1.287656380976354,-126.30046544239197,-4.266117078741107,205.0,75.0,1,0,0,False
"Duplantier, Jon",2024-01-01,2024-12-31,1,2519.875,92.2375,93.925,6.16477475574097,-134.14614813715983,-5.065596919348424,229.0,76.0,1,1,0,False
"Elder, Bryce",2024-01-01,2024-12-31,10,2185.1562934957574,87.66556588039698,87.08824151789611,3.7415199210322343,-127.53379415460938,-6.217813718124393,220.0,74.0,2,1,0,False
"Emanuel, Kent",2024-01-01,2024-12-31,13,2079.6233839396436,84.89924681222482,84.16293508922485,-7.2233061166023855,-123.41685157286604,-2.287528790447575,225.0,76.0,1,0,0,False
"Englert, Mason",2024-01-01,2024-12-31,13,2158.4418454193783,88.37235748044766,88.07571222576166,6.391105097881427,-128.5173241429889,-3.466745613316057,206.0,76.0,0,1,0,False
"Escobar, Edwin",2024-01-01,2024-12-31,3,2187.1428571428573,86.43571428571428,85.87142857142858,-4.915919492638077,-125.84102043012358,-2.8379299986963202,225.0,74.0,1,0,0,False
"Espino, Paolo",2024-01-01,2024-12-31,5,2329.6008707431483,81.05161203171998,81.0795346585053,1.6631722764741301,-117.89919210325328,-1.346145263708546,211.0,70.0,2,1,0,False
"Estes, Joey",2024-01-01,2024-12-31,25,2351.1458704574975,87.2668419645804,86.66954139560917,5.496619706294134,-126.93741654249757,-3.343620919858899,190.0,74.0,2,1,0,False
"Farmer, Buck",2024-01-01,2024-12-31,64,2386.8882770746723,87.75554201419143,87.39612054219347,4.249495873328808,-127.71457718235949,-3.17475559497457,232.0,76.0,1,1,0,False
"Farmer, Kyle",2024-01-01,2024-12-31,3,1057.883493318276,41.03184641445511,38.86246941464333,2.4845657450068575,-58.94697825600192,7.337329042412541,205.0,72.0,2,1,0,False
"Fedde, Erick",2024-01-01,2024-12-31,32,2070.9731951555923,89.24173792091455,90.07837872002551,4.123132385853829,-129.93001283317318,-3.6254786338166065,203.0,76.0,2,1,0,False
"Ferguson, Caleb",2024-01-01,2024-12-31,66,2429.009608659361,90.01324630522872,90.30420311976478,-7.027604236164801,-130.87362744508658,-3.7764195723696092,226.0,75.0,2,0,0,False
"Festa, Matt",2024-01-01,2024-12-31,19,2520.0257301600263,88.31042528205276,88.53366945101762,5.076283284483203,-128.55001188791826,-0.7405592376443161,195.0,73.0,2,1,0,False
"Finnegan, Kyle",2024-01-01,2024-12-31,66,1791.153584099525,94.1958924865506,94.91971633018203,6.609571698940824,-137.00180502001976,-5.1040847167063,197.0,74.0,2,1,0,False
"Flaherty, Jack",2024-01-01,2024-12-31,35,2329.468056176326,87.16549167157368,87.71177400196464,5.434333694677932,-126.82812702186345,-3.108026240751142,225.0,76.0,2,1,0,False
"Fleming, Josh",2024-01-01,2024-12-31,28,1771.3019388003697,86.7460286110862,87.08778117253391,-7.920111617814416,-126.10860726139403,-2.0326620755935156,220.0,74.0,1,0,0,False
"Flexen, Chris",2024-01-01,2024-12-31,34,2171.31461429292,85.40343287314904,85.48517448507758,0.4194967447381896,-124.2808380571647,-5.648075892571422,219.0,75.0,2,1,0,False
"Floro, Dylan",2024-01-01,2024-12-31,70,2041.8783237233474,87.5787898420183,87.80488628591146,10.081711697890073,-127.13708136788925,-4.189243705189214,203.0,74.0,1,1,0,False
"Foley, Jason",2024-01-01,2024-12-31,73,2088.3472943875763,94.16305350714664,94.78483355207176,6.703948266441412,-136.95528570204226,-4.2077369949309515,215.0,76.0,2,1,0,False
"Gaddis, Hunter",2024-01-01,2024-12-31,89,2325.8513232858304,90.02439544107864,91.00019518078082,7.7799345537156475,-130.83704316720807,-5.001113594831114,260.0,78.0,2,1,0,False
"Garrett, Amir",2024-01-01,2024-12-31,8,1952.6907468537902,88.960905036992,88.94896291309335,-5.461557189001904,-129.31063576375374,-5.217922383295263,239.0,77.0,2,0,0,False
"Garza, Justin",2024-01-01,2024-12-31,3,2170.8,90.36,89.62,5.989723047906726,-131.39429623055574,-3.7387051127727715,170.0,70.0,2,1,0,False
"Gilbert, Logan",2024-01-01,2024-12-31,35,1858.3756804645805,90.32927387920029,92.37931889024375,3.2481217359519987,-131.45228178867555,-4.513229953549846,215.0,78.0,2,1,0,False
"Gilbert, Tyler",2024-01-01,2024-12-31,7,2176.636652236652,90.09126863876865,89.63308561808562,-8.0057377357095,-130.96220033027308,-2.006128101095218,223.0,75.0,1,0,0,False
"Gillaspie, Logan",2024-01-01,2024-12-31,9,2160.726431888545,89.7991670464039,89.78937798484625,2.196473451456336,-130.6884180654913,-4.469290681087216,220.0,74.0,2,1,0,False
"Ginkel, Kevin",2024-01-01,2024-12-31,74,2430.079276318737,92.55268408734675,93.55290035733253,6.7021664313547324,-134.56515174634785,-6.247313902330084,235.0,76.0,1,1,0,False
"Givens, Mychal",2024-01-01,2024-12-31,2,2286.8722222222223,85.68422222222222,85.47588888888889,6.91353073464731,-124.62772118614684,1.220479637866774,239.0,72.0,2,1,0,False
"Gore, MacKenzie",2024-01-01,2024-12-31,33,2256.661626100784,91.60786717816653,92.7981194371338,-5.882219997013743,-133.23529002888574,-4.836150048965684,197.0,74.0,1,0,0,False
"Gose, Anthony",2024-01-01,2024-12-31,5,2183.4387254901962,91.8422969187675,91.33490896358542,-3.8626484950353195,-133.6910038355726,-4.348742462709979,200.0,72.0,1,0,0,False
"Greene, Shane",2024-01-01,2024-12-31,4,2486.153846153846,82.4076923076923,82.53846153846153,5.9075028491153585,-119.89466034428872,-3.196976993856537,200.0,76.0,2,1,0,False
"Guenther, Sean",2024-01-01,2024-12-31,22,1858.2306131517025,85.30418141053836,85.27220479053034,-7.846213338375472,-123.9830668926731,-2.137917299617293,194.0,71.0,1,0,0,False
"Gutierrez, Vladimir",2024-01-01,2024-12-31,4,2043.9957788671024,86.62342592592593,87.46742424242423,5.451913678389271,-126.05048530884208,-1.4291558711560903,190.0,73.0,2,1,0,False
"Gómez, Yoendrys",2024-01-01,2024-12-31,5,2424.272758234808,86.991271725674,87.9768773955681,4.21349677815736,-126.57995290656876,-2.970811713013274,212.0,75.0,2,1,0,False
"Hader, Josh",2024-01-01,2024-12-31,75,2309.1941675954076,93.13428326050523,93.48099977533569,-9.001398773943707,-135.22184123594118,-5.288607823797447,180.0,75.0,1,0,0,False
"Hall, DL",2024-01-01,2024-12-31,15,2259.641199867532,87.75804330009481,88.59673879084542,-7.502887484285662,-127.56345801490203,-2.970354960746474,195.0,74.0,1,0,0,False
"Hampson, Garrett",2024-01-01,2024-12-31,1,1313.923076923077,55.97692307692308,54.53846153846154,4.64587004576925,-81.25370535732795,3.242430886476351,196.0,71.0,2,1,0,False
"Hancock, Emerson",2024-01-01,2024-12-31,14,2227.9086289455727,90.34926209375118,90.57244516346063,6.413216847921378,-131.4167924797933,-3.606498449088168,213.0,76.0,2,1,0,False
"Hanifee, Brenan",2024-01-01,2024-12-31,24,2010.7829966897953,92.64000492761186,92.43199309311781,8.512923060390547,-134.63568264992793,-3.914727895266399,215.0,77.0,2,1,0,False
