player_name,game_date,num_pitches,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,recurrence,start,stop,event,weight,height,bats,throws,age
"Moreta, Dauri",2022-04-27,17,2107.3529411764707,91.23529411764706,91.37058823529412,4.71586390352987,-132.7179160724845,-5.282676454571538,0,13,14,0.0,185.0,74.0,0,0,26.031485284052017
"Moreta, Dauri",2022-04-28,10,2072.7,89.64,89.67,4.121643227257492,-130.34199744069426,-5.327594130357571,0,14,15,0.0,185.0,74.0,0,0,26.034223134839152
"Moreta, Dauri",2022-04-30,16,1989.75,88.8,88.95,4.289894268349841,-129.31041775488694,-2.993532838962175,0,15,16,0.0,185.0,74.0,0,0,26.039698836413415
"Moreta, Dauri",2022-05-04,31,2066.548387096774,90.12258064516128,90.0,4.583613686532636,-131.0436796651033,-6.023977910567707,0,16,17,0.0,185.0,74.0,0,0,26.050650239561943
"Moreta, Dauri",2022-05-07,10,2094.7,91.65,91.39,4.624025178967992,-133.2557569348832,-5.495756141870725,0,17,18,0.0,185.0,74.0,0,0,26.05886379192334
"Moreta, Dauri",2022-05-08,13,2173.3846153846152,93.6846153846154,93.9923076923077,5.139918862647914,-136.36094276404782,-4.132992898283669,0,18,19,0.0,185.0,74.0,0,0,26.06160164271047
"Moreta, Dauri",2022-05-11,17,2039.1176470588236,92.0529411764706,92.5764705882353,4.054455748781218,-133.9763552102508,-4.724697785725239,0,19,20,0.0,185.0,74.0,0,0,26.069815195071868
"Moreta, Dauri",2022-06-19,23,2259.304347826087,92.19130434782608,92.03478260869566,5.013673277616485,-134.13184479235278,-4.872105682113781,0,20,21,0.0,185.0,74.0,0,0,26.17659137577002
"Moreta, Dauri",2022-06-21,12,2151.4166666666665,93.475,93.26666666666668,5.220371727527943,-135.91981532954154,-6.562834989076369,0,21,22,0.0,185.0,74.0,0,0,26.182067077344286
"Moreta, Dauri",2022-06-22,16,2152.9375,93.49375,93.45,4.230001322089471,-136.05742061484557,-4.0365477448101466,0,22,23,0.0,185.0,74.0,0,0,26.184804928131417
"Moreta, Dauri",2022-06-25,10,2142.8,96.31,96.14,4.4616329367669865,-140.1418455512302,-4.383705548712625,0,23,24,0.0,185.0,74.0,0,0,26.193018480492814
"Moreta, Dauri",2022-06-29,13,2144.3076923076924,93.98461538461538,94.1,5.659232248294434,-136.73589201864763,-4.796546854762254,0,24,25,0.0,185.0,74.0,0,0,26.203969883641342
